date,mortgage15y,mortgage30y
1991-08-30,8.77,9.15
1991-09-06,8.79,9.14
1991-09-13,8.68,9.02
1991-09-27,8.59,8.92
1991-10-04,8.51,8.87
1991-10-11,8.46,8.82
1991-11-01,8.41,8.78
1991-11-08,8.36,8.76
1991-11-15,8.32,8.69
1991-11-22,8.25,8.63
1991-12-06,8.21,8.62
1991-12-13,8.1,8.53
1991-12-20,8.07,8.49
1991-12-27,7.9,8.35
1992-01-10,7.79,8.23
1992-01-24,8.14,8.56
1992-01-31,8.28,8.68
1992-02-07,8.3,8.67
1992-02-14,8.36,8.73
1992-02-21,8.43,8.82
1992-02-28,8.44,8.83
1992-03-06,8.48,8.85
1992-04-03,8.57,8.96
1992-04-10,8.44,8.84
1992-04-17,8.38,8.76
1992-04-24,8.49,8.85
1992-05-01,8.46,8.84
1992-05-08,8.38,8.75
1992-05-15,8.26,8.64
1992-05-22,8.16,8.53
1992-05-29,8.21,8.6
1992-06-05,8.18,8.59
1992-06-12,8.12,8.54
1992-06-19,8.03,8.48
1992-06-26,7.98,8.43
1992-07-03,7.84,8.29
1992-07-10,7.67,8.13
1992-07-31,7.6,8.05
1992-08-07,7.59,8.06
1992-08-14,7.48,7.96
1992-08-21,7.38,7.87
1992-08-28,7.51,8.01
1992-09-11,7.33,7.84
1992-09-18,7.37,7.89
1992-09-24,7.48,8.02
1992-10-09,7.46,8.01
1992-10-16,7.51,8.06
1992-10-23,7.71,8.23
1992-10-30,7.68,8.21
1992-11-06,7.75,8.29
1992-11-13,7.79,8.32
1992-11-20,7.83,8.32
1992-11-27,7.81,8.29
1992-12-04,7.87,8.34
1992-12-11,7.77,8.23
1992-12-18,7.74,8.19
1992-12-25,7.65,8.13
1992-12-31,7.68,8.14
1993-01-08,7.6,8.07
1993-01-22,7.51,8.0
1993-02-05,7.29,7.8
1993-02-12,7.25,7.75
1993-02-19,7.12,7.65
1993-02-26,7.02,7.53
1993-03-12,6.97,7.47
1993-03-19,7.07,7.57
1993-03-26,7.01,7.5
1993-04-02,7.03,7.53
1993-04-09,7.07,7.57
1993-04-16,6.93,7.45
1993-04-30,6.91,7.43
1993-05-07,6.88,7.42
